SaleID,ProductID,ProductName,ProductCategory,EmployeeID,EmployeeName,VenderID,VenderName,CustomerID,CustomerName,SaleDate,SaleAmount,Quantity,Discount,PaymentMethod,PaymentMethodID
18,1036,Desk Lamp,Accessories,2002,Bob,3008,VenderI,4002,Mike,2023-01-18,1485.56,1,0.19,Gift Card,6006
19,1012,Speaker,Electronics,2001,Alice,3003,VenderD,4004,Chris,2023-01-19,1198.23,1,0.07,Cash,6001
20,1031,Smart Plug,Electronics,2005,Eve,3005,VenderF,4012,Lucas,2023-01-20,1701.63,4,0.04,Credit Card,6000
21,1045,3D Printer,Accessories,2004,David,3008,VenderI,4015,Charlotte,2023-01-21,247.87,1,0.2,Mobile Payment,6004
22,1022,Smart Light,Accessories,2003,Charlie,3009,VenderJ,4011,Mason,2023-01-22,1803.34,1,0.01,Online Payment,6003
23,1044,Alarm System,Electronics,2005,Eve,3000,VenderA,4038,Ellie,2023-01-23,844.84,3,0.06,Online Payment,6003
24,1016,USB Hub,Accessories,2005,Eve,3007,VenderH,4026,Grace,2023-01-24,1013.31,2,0.15,Gift Card,6006
25,1065,Monitor Arm,Electronics,2005,Eve,3000,VenderA,4044,Layla,2023-01-25,944.99,1,0.12,Bank Transfer,6002
26,1005,Mouse,Electronics,2005,Eve,3003,VenderD,4032,Avery,2023-01-26,1109.44,1,0.14,Online Payment,6003
27,1017,Flash Drive,Accessories,2004,David,3002,VenderC,4014,James,2023-01-27,1236.52,4,0.14,Online Payment,6003
28,1021,Drone,Electronics,2004,David,3003,VenderD,4020,Benjamin,2023-01-28,1449.65,2,0.14,Cash,6001
29,1032,Gaming Chair,Electronics,2003,Charlie,3006,VenderG,4043,Mateo,2023-01-29,1097.39,3,0.07,Bank Transfer,6002
30,1029,TV,Electronics,2004,David,3008,VenderI,4016,Amelia,2023-01-30,1401.07,1,0.06,Online Payment,6003
31,1080,Dash Cam,Accessories,2004,David,3008,VenderI,4036,Chloe,2023-01-31,742.77,2,0.09,Cash,6001
32,1031,Smart Plug,Accessories,2001,Alice,3009,VenderJ,4048,Sofia,2023-02-01,1879.69,2,0.16,Bank Transfer,6002
33,1041,Docking Station,Accessories,2007,Grace,3000,VenderA,4014,James,2023-02-02,222.61,4,0.19,Cash,6001
34,1077,Smart Dishwasher,Electronics,2001,Alice,3009,VenderJ,4019,Henry,2023-02-03,1136.53,3,0.09,Credit Card,6000
35,1009,Smartwatch,Electronics,2007,Grace,3000,VenderA,4018,Harper,2023-02-04,266.05,2,0.02,Mobile Payment,6004
36,1035,Monitor Stand,Accessories,2002,Bob,3008,VenderI,4000,John,2023-02-05,941.26,3,0.19,Mobile Payment,6004
37,1033,Bluetooth Adapter,Accessories,2003,Charlie,3003,VenderD,4003,Emma,2023-02-06,589.41,2,0.02,Mobile Payment,6004
38,1072,Dehumidifier,Accessories,2007,Grace,3002,VenderC,4002,Mike,2023-02-07,1880.12,1,0.03,Online Payment,6003
39,1027,Smart Doorbell,Electronics,2001,Alice,3008,VenderI,4007,Olivia,2023-02-08,124.84,3,0.17,Mobile Payment,6004
40,1010,Charger,Accessories,2003,Charlie,3004,VenderE,4040,Nora,2023-02-09,843.29,4,0.11,Mobile Payment,6004
41,1077,Smart Dishwasher,Electronics,2003,Charlie,3005,VenderF,4043,Mateo,2023-02-10,1585.88,2,0.07,Bank Transfer,6002
42,1038,Headset,Accessories,2005,Eve,3000,VenderA,4004,Chris,2023-02-11,458.08,1,0.19,Gift Card,6006
43,1046,Scanner,Electronics,2006,Frank,3000,VenderA,4008,Noah,2023-02-12,1649.62,2,0.19,Bank Transfer,6002
44,1018,Graphics Card,Electronics,2006,Frank,3006,VenderG,4000,John,2023-02-13,1733.48,1,0.07,Cryptocurrency,6005
45,1014,External Hard Drive,Accessories,2006,Frank,3009,VenderJ,4042,Stella,2023-02-14,1445.21,3,0.17,Bank Transfer,6002
46,1027,Smart Doorbell,Electronics,2003,Charlie,3007,VenderH,4029,Hannah,2023-02-15,497.23,4,0.14,Online Payment,6003
47,1023,Smart Thermostat,Accessories,2005,Eve,3007,VenderH,4006,Liam,2023-02-16,616.87,1,0.05,Gift Card,6006
48,1071,Humidifier,Electronics,2002,Bob,3006,VenderG,4021,Ella,2023-02-17,417.18,2,0.19,Cryptocurrency,6005
49,1008,Camera,Electronics,2002,Bob,3008,VenderI,4019,Henry,2023-02-18,449.72,1,0.01,Cryptocurrency,6005
50,1046,Scanner,Accessories,2006,Frank,3000,VenderA,4028,Sebastian,2023-02-19,169.34,1,0.06,Mobile Payment,6004
51,1032,Gaming Chair,Electronics,2002,Bob,3001,VenderB,4026,Grace,2023-02-20,1728.9,4,0.08,Online Payment,6003
52,1061,Smart Glasses,Accessories,2005,Eve,3002,VenderC,4024,Emily,2023-02-21,1104.15,3,0.14,Gift Card,6006
53,1018,Graphics Card,Accessories,2006,Frank,3004,VenderE,4045,Ryan,2023-02-22,722.74,1,0.01,Gift Card,6006
54,1066,Wireless Charger,Accessories,2007,Grace,3003,VenderD,4034,Scarlett,2023-02-23,650.2,1,0.18,Online Payment,6003
55,1073,Water Filter,Electronics,2007,Grace,3003,VenderD,4026,Grace,2023-02-24,1134.92,2,0.13,Online Payment,6003
56,1039,Bluetooth Speaker,Electronics,2005,Eve,3007,VenderH,4010,Isabella,2023-02-25,720.7,2,0.06,Online Payment,6003
57,1046,Scanner,Electronics,2002,Bob,3007,VenderH,4016,Amelia,2023-02-26,1741.06,3,0.13,Online Payment,6003
58,1064,Power Strip,Accessories,2006,Frank,3006,VenderG,4030,Aiden,2023-02-27,500.82,3,0.11,Online Payment,6003
59,1028,Smart Lock,Accessories,2007,Grace,3000,VenderA,4017,Elijah,2023-02-28,1776.37,3,0.07,Cryptocurrency,6005
60,1049,Coffee Maker,Electronics,2005,Eve,3009,VenderJ,4018,Harper,2023-03-01,1361.78,2,0.01,Mobile Payment,6004
61,1012,Speaker,Electronics,2004,David,3003,VenderD,4049,Lincoln,2023-03-02,1917.6,1,0.11,Bank Transfer,6002
62,1000,Laptop,Accessories,2007,Grace,3000,VenderA,4037,Levi,2023-03-03,128.7,3,0.02,Cryptocurrency,6005
63,1033,Bluetooth Adapter,Electronics,2004,David,3004,VenderE,4028,Sebastian,2023-03-04,212.28,2,0.16,Cash,6001
64,1047,Tablet Stand,Accessories,2005,Eve,3002,VenderC,4014,James,2023-03-05,1051.7,2,0.02,Gift Card,6006
65,1076,Smart Microwave,Electronics,2005,Eve,3002,VenderC,4006,Liam,2023-03-06,1833.52,3,0.09,Cash,6001
66,1047,Tablet Stand,Accessories,2001,Alice,3003,VenderD,4036,Chloe,2023-03-07,1488.51,2,0.09,Cash,6001
67,1048,Electric Kettle,Electronics,2007,Grace,3001,VenderB,4036,Chloe,2023-03-08,1282.06,1,0.11,Gift Card,6006
68,1063,Portable Speaker,Electronics,2001,Alice,3006,VenderG,4006,Liam,2023-03-09,160.04,4,0.01,Credit Card,6000
69,1060,Soundbar,Accessories,2003,Charlie,3003,VenderD,4021,Ella,2023-03-10,772.91,2,0.04,Bank Transfer,6002
70,1028,Smart Lock,Accessories,2007,Grace,3004,VenderE,4011,Mason,2023-03-11,757.12,2,0.04,Mobile Payment,6004
71,1038,Headset,Accessories,2006,Frank,3001,VenderB,4007,Olivia,2023-03-12,1129.96,4,0.12,Online Payment,6003
72,1025,Fitness Tracker,Electronics,2003,Charlie,3005,VenderF,4017,Elijah,2023-03-13,589.87,1,0.05,Cash,6001
73,1016,USB Hub,Accessories,2003,Charlie,3008,VenderI,4027,Zoe,2023-03-14,607.6,3,0.03,Gift Card,6006
74,1070,Robot Vacuum,Accessories,2002,Bob,3007,VenderH,4017,Elijah,2023-03-15,1279.64,2,0.0,Bank Transfer,6002
75,1012,Speaker,Electronics,2004,David,3007,VenderH,4030,Aiden,2023-03-16,1894.68,1,0.17,Mobile Payment,6004
76,1068,Hoverboard,Accessories,2002,Bob,3001,VenderB,4016,Amelia,2023-03-17,1354.34,3,0.19,Cash,6001
77,1025,Fitness Tracker,Accessories,2006,Frank,3003,VenderD,4022,Alexander,2023-03-18,1369.45,1,0.14,Bank Transfer,6002
78,1048,Electric Kettle,Accessories,2005,Eve,3007,VenderH,4010,Isabella,2023-03-19,1973.81,4,0.08,Gift Card,6006
79,1066,Wireless Charger,Electronics,2001,Alice,3000,VenderA,4014,James,2023-03-20,391.61,2,0.02,Cryptocurrency,6005
80,1006,Keyboard,Electronics,2006,Frank,3007,VenderH,4029,Hannah,2023-03-21,164.29,1,0.1,Mobile Payment,6004
81,1057,NAS Drive,Electronics,2005,Eve,3002,VenderC,4030,Aiden,2023-03-22,1516.48,3,0.09,Gift Card,6006
82,1048,Electric Kettle,Accessories,2006,Frank,3007,VenderH,4005,Sophia,2023-03-23,933.7,3,0.08,Cryptocurrency,6005
83,1052,Wi-Fi Range Extender,Electronics,2005,Eve,3005,VenderF,4011,Mason,2023-03-24,914.76,3,0.08,Bank Transfer,6002
84,1064,Power Strip,Accessories,2007,Grace,3006,VenderG,4022,Alexander,2023-03-25,528.08,4,0.1,Online Payment,6003
85,1061,Smart Glasses,Accessories,2001,Alice,3001,VenderB,4038,Ellie,2023-03-26,1063.04,1,0.01,Bank Transfer,6002
86,1016,USB Hub,Accessories,2005,Eve,3000,VenderA,4039,Ethan,2023-03-27,940.13,1,0.01,Bank Transfer,6002
87,1042,Memory Card,Electronics,2003,Charlie,3005,VenderF,4035,Jack,2023-03-28,756.36,3,0.01,Credit Card,6000
88,1024,VR Headset,Electronics,2006,Frank,3002,VenderC,4034,Scarlett,2023-03-29,941.22,3,0.04,Online Payment,6003
89,1002,Tablet,Accessories,2001,Alice,3003,VenderD,4002,Mike,2023-03-30,829.29,3,0.06,Cryptocurrency,6005
90,1078,Wine Fridge,Accessories,2005,Eve,3008,VenderI,4041,Daniel,2023-03-31,1885.8,4,0.03,Bank Transfer,6002
91,1028,Smart Lock,Electronics,2003,Charlie,3002,VenderC,4027,Zoe,2023-04-01,1962.48,4,0.05,Online Payment,6003
92,1031,Smart Plug,Electronics,2003,Charlie,3001,VenderB,4014,James,2023-04-02,1695.81,2,0.04,Bank Transfer,6002
93,1025,Fitness Tracker,Electronics,2007,Grace,3001,VenderB,4012,Lucas,2023-04-03,1981.79,2,0.03,Gift Card,6006
94,1015,Microphone,Accessories,2004,David,3001,VenderB,4018,Harper,2023-04-04,604.87,2,0.06,Online Payment,6003
95,1024,VR Headset,Electronics,2003,Charlie,3005,VenderF,4039,Ethan,2023-04-05,1701.56,3,0.08,Mobile Payment,6004
96,1053,Laptop Bag,Electronics,2002,Bob,3001,VenderB,4017,Elijah,2023-04-06,872.6,4,0.15,Gift Card,6006
97,1027,Smart Doorbell,Electronics,2001,Alice,3006,VenderG,4030,Aiden,2023-04-07,1517.66,4,0.19,Cash,6001
98,1072,Dehumidifier,Accessories,2001,Alice,3006,VenderG,4036,Chloe,2023-04-08,482.65,2,0.18,Credit Card,6000
99,1055,Server,Electronics,2001,Alice,3006,VenderG,4020,Benjamin,2023-04-09,1642.72,3,0.1,Cash,6001
100,1064,Power Strip,Accessories,2005,Eve,3001,VenderB,4038,Ellie,2023-04-10,258.58,1,0.09,Bank Transfer,6002
101,1079,Bluetooth Tracker,Accessories,2006,Frank,3006,VenderG,4004,Chris,2023-04-11,614.06,3,0.03,Bank Transfer,6002
102,1040,Charging Cable,Accessories,2005,Eve,3009,VenderJ,4050,Hazel,2023-04-12,1661.71,3,0.19,Mobile Payment,6004
103,1050,Smart Oven,Electronics,2002,Bob,3007,VenderH,4016,Amelia,2023-04-13,1519.6,2,0.15,Bank Transfer,6002
104,1070,Robot Vacuum,Electronics,2006,Frank,3007,VenderH,4018,Harper,2023-04-14,1052.37,4,0.17,Cryptocurrency,6005
105,1077,Smart Dishwasher,Electronics,2007,Grace,3001,VenderB,4003,Emma,2023-04-15,1378.31,4,0.05,Online Payment,6003
106,1028,Smart Lock,Accessories,2003,Charlie,3004,VenderE,4025,Jackson,2023-04-16,452.59,1,0.08,Cryptocurrency,6005
107,1018,Graphics Card,Electronics,2005,Eve,3005,VenderF,4023,Lily,2023-04-17,1368.75,4,0.02,Cash,6001
108,1065,Monitor Arm,Accessories,2006,Frank,3008,VenderI,4038,Ellie,2023-04-18,115.15,4,0.19,Gift Card,6006
109,1040,Charging Cable,Electronics,2003,Charlie,3005,VenderF,4037,Levi,2023-04-19,1683.11,1,0.06,Bank Transfer,6002
110,1044,Alarm System,Electronics,2006,Frank,3009,VenderJ,4045,Ryan,2023-04-20,1080.95,1,0.12,Mobile Payment,6004
111,1014,External Hard Drive,Electronics,2003,Charlie,3005,VenderF,4018,Harper,2023-04-21,1893.37,2,0.03,Credit Card,6000
112,1002,Tablet,Electronics,2006,Frank,3009,VenderJ,4029,Hannah,2023-04-22,1008.51,2,0.16,Cryptocurrency,6005
113,1010,Charger,Accessories,2005,Eve,3009,VenderJ,4025,Jackson,2023-04-23,922.87,2,0.04,Cash,6001
114,1052,Wi-Fi Range Extender,Accessories,2005,Eve,3005,VenderF,4010,Isabella,2023-04-24,955.1,2,0.16,Mobile Payment,6004
115,1045,3D Printer,Accessories,2002,Bob,3008,VenderI,4038,Ellie,2023-04-25,783.48,4,0.08,Mobile Payment,6004
116,1029,TV,Accessories,2007,Grace,3009,VenderJ,4002,Mike,2023-04-26,416.68,2,0.12,Cash,6001
117,1056,Network Switch,Electronics,2007,Grace,3006,VenderG,4021,Ella,2023-04-27,1699.92,3,0.05,Mobile Payment,6004
118,1017,Flash Drive,Accessories,2004,David,3000,VenderA,4016,Amelia,2023-04-28,839.26,1,0.18,Gift Card,6006
119,1050,Smart Oven,Accessories,2001,Alice,3000,VenderA,4010,Isabella,2023-04-29,1105.31,2,0.15,Gift Card,6006
120,1047,Tablet Stand,Accessories,2005,Eve,3003,VenderD,4046,Mila,2023-04-30,137.79,1,0.07,Credit Card,6000
121,1065,Monitor Arm,Electronics,2005,Eve,3001,VenderB,4038,Ellie,2023-05-01,214.48,4,0.12,Credit Card,6000
122,1007,Printer,Accessories,2003,Charlie,3002,VenderC,4046,Mila,2023-05-02,1234.65,2,0.03,Bank Transfer,6002
123,1021,Drone,Accessories,2004,David,3006,VenderG,4026,Grace,2023-05-03,1770.53,3,0.03,Online Payment,6003
124,1005,Mouse,Electronics,2007,Grace,3006,VenderG,4048,Sofia,2023-05-04,1037.45,1,0.11,Bank Transfer,6002
125,1075,Air Fryer,Electronics,2005,Eve,3002,VenderC,4042,Stella,2023-05-05,413.45,2,0.13,Online Payment,6003
126,1056,Network Switch,Accessories,2006,Frank,3001,VenderB,4028,Sebastian,2023-05-06,320.64,3,0.11,Cash,6001
127,1035,Monitor Stand,Accessories,2007,Grace,3000,VenderA,4011,Mason,2023-05-07,1809.6,4,0.11,Mobile Payment,6004
128,1078,Wine Fridge,Electronics,2004,David,3008,VenderI,4012,Lucas,2023-05-08,1433.11,3,0.15,Bank Transfer,6002
129,1056,Network Switch,Accessories,2001,Alice,3009,VenderJ,4010,Isabella,2023-05-09,1935.77,4,0.18,Mobile Payment,6004
130,1048,Electric Kettle,Electronics,2006,Frank,3002,VenderC,4030,Aiden,2023-05-10,256.46,1,0.08,Bank Transfer,6002
131,1044,Alarm System,Accessories,2003,Charlie,3008,VenderI,4010,Isabella,2023-05-11,1814.96,2,0.11,Bank Transfer,6002
132,1081,Smart Mirror,Accessories,2002,Bob,3003,VenderD,4040,Nora,2023-05-12,1706.7,3,0.18,Credit Card,6000
133,1065,Monitor Arm,Accessories,2006,Frank,3009,VenderJ,4042,Stella,2023-05-13,1797.05,3,0.09,Online Payment,6003
134,1076,Smart Microwave,Accessories,2007,Grace,3005,VenderF,4035,Jack,2023-05-14,110.95,3,0.09,Cash,6001
135,1044,Alarm System,Accessories,2001,Alice,3006,VenderG,4001,Jane,2023-05-15,1509.62,4,0.15,Gift Card,6006
136,1078,Wine Fridge,Electronics,2006,Frank,3009,VenderJ,4022,Alexander,2023-05-16,1142.98,1,0.18,Mobile Payment,6004
137,1019,Cooling Fan,Electronics,2004,David,3005,VenderF,4035,Jack,2023-05-17,1189.04,1,0.15,Bank Transfer,6002
138,1063,Portable Speaker,Accessories,2004,David,3000,VenderA,4013,Mia,2023-05-18,991.48,2,0.02,Mobile Payment,6004
139,1066,Wireless Charger,Accessories,2001,Alice,3005,VenderF,4036,Chloe,2023-05-19,1511.09,2,0.09,Credit Card,6000
140,1002,Tablet,Accessories,2007,Grace,3005,VenderF,4048,Sofia,2023-05-20,1999.69,1,0.04,Gift Card,6006
141,1053,Laptop Bag,Electronics,2004,David,3004,VenderE,4026,Grace,2023-05-21,1450.02,1,0.06,Cash,6001
142,1077,Smart Dishwasher,Electronics,2006,Frank,3002,VenderC,4011,Mason,2023-05-22,1388.3,1,0.09,Online Payment,6003
143,1063,Portable Speaker,Electronics,2002,Bob,3009,VenderJ,4028,Sebastian,2023-05-23,1343.43,3,0.04,Online Payment,6003
144,1039,Bluetooth Speaker,Electronics,2006,Frank,3002,VenderC,4005,Sophia,2023-05-24,1420.9,4,0.1,Bank Transfer,6002
145,1058,Security Camera,Electronics,2002,Bob,3009,VenderJ,4043,Mateo,2023-05-25,750.01,1,0.13,Gift Card,6006
146,1054,Desktop,Electronics,2004,David,3006,VenderG,4046,Mila,2023-05-26,708.42,2,0.17,Cash,6001
147,1061,Smart Glasses,Electronics,2006,Frank,3007,VenderH,4022,Alexander,2023-05-27,1590.24,4,0.04,Online Payment,6003
148,1003,Headphones,Electronics,2004,David,3002,VenderC,4050,Hazel,2023-05-28,200.87,3,0.06,Cash,6001
149,1059,Smartwatch Charger,Accessories,2007,Grace,3002,VenderC,4009,Ava,2023-05-29,1542.57,4,0.08,Mobile Payment,6004
150,1074,Smart Refrigerator,Electronics,2002,Bob,3006,VenderG,4033,Owen,2023-05-30,1646.3,1,0.04,Credit Card,6000
151,1029,TV,Electronics,2007,Grace,3009,VenderJ,4043,Mateo,2023-05-31,1091.04,4,0.07,Cash,6001
152,1001,Smartphone,Electronics,2004,David,3006,VenderG,4011,Mason,2023-06-01,1829.28,2,0.18,Cash,6001
153,1061,Smart Glasses,Electronics,2005,Eve,3008,VenderI,4031,Samuel,2023-06-02,998.87,4,0.03,Gift Card,6006
154,1048,Electric Kettle,Accessories,2003,Charlie,3005,VenderF,4025,Jackson,2023-06-03,438.36,1,0.09,Online Payment,6003
155,1008,Camera,Electronics,2006,Frank,3006,VenderG,4006,Liam,2023-06-04,786.66,4,0.06,Cryptocurrency,6005
156,1030,E-reader,Accessories,2005,Eve,3009,VenderJ,4031,Samuel,2023-06-05,1821.15,4,0.02,Bank Transfer,6002
157,1060,Soundbar,Accessories,2007,Grace,3000,VenderA,4032,Avery,2023-06-06,1988.1,4,0.02,Gift Card,6006
158,1078,Wine Fridge,Accessories,2004,David,3006,VenderG,4017,Elijah,2023-06-07,901.52,2,0.16,Bank Transfer,6002
159,1047,Tablet Stand,Electronics,2004,David,3001,VenderB,4034,Scarlett,2023-06-08,417.01,4,0.17,Cryptocurrency,6005
160,1024,VR Headset,Electronics,2003,Charlie,3006,VenderG,4019,Henry,2023-06-09,644.03,4,0.15,Cryptocurrency,6005
161,1035,Monitor Stand,Electronics,2004,David,3002,VenderC,4030,Aiden,2023-06-10,1151.26,3,0.11,Gift Card,6006
162,1007,Printer,Accessories,2003,Charlie,3008,VenderI,4004,Chris,2023-06-11,1186.98,4,0.15,Cryptocurrency,6005
163,1072,Dehumidifier,Accessories,2006,Frank,3004,VenderE,4031,Samuel,2023-06-12,1297.11,4,0.03,Mobile Payment,6004
164,1057,NAS Drive,Accessories,2002,Bob,3006,VenderG,4046,Mila,2023-06-13,1687.17,3,0.16,Online Payment,6003
165,1044,Alarm System,Accessories,2003,Charlie,3007,VenderH,4041,Daniel,2023-06-14,1451.31,2,0.08,Online Payment,6003
166,1061,Smart Glasses,Electronics,2003,Charlie,3001,VenderB,4018,Harper,2023-06-15,595.6,2,0.15,Credit Card,6000
167,1038,Headset,Electronics,2005,Eve,3000,VenderA,4000,John,2023-06-16,850.58,3,0.05,Bank Transfer,6002
168,1057,NAS Drive,Electronics,2004,David,3006,VenderG,4006,Liam,2023-06-17,1695.65,3,0.17,Online Payment,6003
169,1080,Dash Cam,Accessories,2006,Frank,3005,VenderF,4021,Ella,2023-06-18,1303.43,4,0.11,Cryptocurrency,6005
170,1063,Portable Speaker,Accessories,2002,Bob,3005,VenderF,4049,Lincoln,2023-06-19,416.19,2,0.0,Mobile Payment,6004
171,1043,Action Camera,Electronics,2001,Alice,3001,VenderB,4033,Owen,2023-06-20,718.52,2,0.1,Gift Card,6006
172,1028,Smart Lock,Electronics,2007,Grace,3002,VenderC,4050,Hazel,2023-06-21,1603.07,4,0.06,Credit Card,6000
173,1058,Security Camera,Accessories,2003,Charlie,3003,VenderD,4009,Ava,2023-06-22,426.98,1,0.01,Bank Transfer,6002
174,1070,Robot Vacuum,Electronics,2001,Alice,3002,VenderC,4046,Mila,2023-06-23,1413.0,4,0.09,Bank Transfer,6002
175,1008,Camera,Electronics,2004,David,3001,VenderB,4041,Daniel,2023-06-24,1170.72,1,0.06,Bank Transfer,6002
176,1005,Mouse,Accessories,2007,Grace,3002,VenderC,4025,Jackson,2023-06-25,380.2,4,0.04,Credit Card,6000
177,1028,Smart Lock,Accessories,2003,Charlie,3005,VenderF,4031,Samuel,2023-06-26,1408.87,3,0.07,Gift Card,6006
178,1057,NAS Drive,Accessories,2001,Alice,3008,VenderI,4041,Daniel,2023-06-27,370.46,4,0.04,Gift Card,6006
179,1016,USB Hub,Electronics,2005,Eve,3003,VenderD,4026,Grace,2023-06-28,857.03,3,0.06,Mobile Payment,6004
180,1015,Microphone,Accessories,2001,Alice,3005,VenderF,4011,Mason,2023-06-29,686.26,1,0.02,Gift Card,6006
181,1002,Tablet,Electronics,2007,Grace,3000,VenderA,4039,Ethan,2023-06-30,1411.02,1,0.02,Mobile Payment,6004
182,1020,Projector,Electronics,2005,Eve,3005,VenderF,4022,Alexander,2023-07-01,1586.49,3,0.18,Online Payment,6003
183,1063,Portable Speaker,Accessories,2007,Grace,3002,VenderC,4013,Mia,2023-07-02,419.8,3,0.18,Online Payment,6003
184,1035,Monitor Stand,Electronics,2002,Bob,3008,VenderI,4033,Owen,2023-07-03,1642.79,2,0.17,Bank Transfer,6002
185,1061,Smart Glasses,Accessories,2004,David,3003,VenderD,4016,Amelia,2023-07-04,113.71,2,0.05,Cryptocurrency,6005
186,1041,Docking Station,Accessories,2006,Frank,3006,VenderG,4005,Sophia,2023-07-05,1107.11,4,0.15,Cash,6001
187,1075,Air Fryer,Electronics,2001,Alice,3003,VenderD,4026,Grace,2023-07-06,1081.9,3,0.12,Online Payment,6003
188,1041,Docking Station,Electronics,2003,Charlie,3005,VenderF,4007,Olivia,2023-07-07,1285.26,1,0.01,Mobile Payment,6004
189,1060,Soundbar,Accessories,2007,Grace,3006,VenderG,4032,Avery,2023-07-08,555.43,2,0.18,Bank Transfer,6002
190,1012,Speaker,Accessories,2007,Grace,3001,VenderB,4034,Scarlett,2023-07-09,118.73,3,0.2,Mobile Payment,6004
191,1010,Charger,Accessories,2004,David,3009,VenderJ,4046,Mila,2023-07-10,964.05,1,0.14,Bank Transfer,6002
192,1053,Laptop Bag,Accessories,2001,Alice,3005,VenderF,4016,Amelia,2023-07-11,235.67,1,0.05,Credit Card,6000
193,1015,Microphone,Accessories,2003,Charlie,3007,VenderH,4025,Jackson,2023-07-12,1795.17,3,0.11,Online Payment,6003
194,1007,Printer,Accessories,2003,Charlie,3005,VenderF,4006,Liam,2023-07-13,429.97,4,0.02,Cryptocurrency,6005
195,1058,Security Camera,Electronics,2007,Grace,3001,VenderB,4045,Ryan,2023-07-14,907.94,2,0.06,Credit Card,6000
196,1056,Network Switch,Electronics,2006,Frank,3003,VenderD,4023,Lily,2023-07-15,924.6,2,0.14,Online Payment,6003
197,1039,Bluetooth Speaker,Electronics,2007,Grace,3000,VenderA,4024,Emily,2023-07-16,1150.44,3,0.06,Cryptocurrency,6005
198,1058,Security Camera,Electronics,2006,Frank,3006,VenderG,4034,Scarlett,2023-07-17,1586.81,4,0.03,Cryptocurrency,6005
199,1001,Smartphone,Accessories,2007,Grace,3007,VenderH,4025,Jackson,2023-07-18,997.08,1,0.0,Cryptocurrency,6005
200,1075,Air Fryer,Electronics,2007,Grace,3009,VenderJ,4049,Lincoln,2023-07-19,148.93,4,0.11,Mobile Payment,6004
201,1009,Smartwatch,Electronics,2003,Charlie,3001,VenderB,4004,Chris,2023-07-20,1565.11,2,0.19,Mobile Payment,6004
202,1043,Action Camera,Accessories,2006,Frank,3009,VenderJ,4046,Mila,2023-07-21,256.13,3,0.1,Cash,6001
203,1010,Charger,Electronics,2003,Charlie,3004,VenderE,4037,Levi,2023-07-22,1318.95,2,0.04,Mobile Payment,6004
204,1078,Wine Fridge,Accessories,2001,Alice,3007,VenderH,4034,Scarlett,2023-07-23,1626.52,3,0.09,Bank Transfer,6002
205,1079,Bluetooth Tracker,Accessories,2007,Grace,3007,VenderH,4029,Hannah,2023-07-24,637.11,4,0.12,Cash,6001
206,1080,Dash Cam,Accessories,2002,Bob,3004,VenderE,4049,Lincoln,2023-07-25,953.3,2,0.16,Bank Transfer,6002
207,1001,Smartphone,Accessories,2006,Frank,3007,VenderH,4024,Emily,2023-07-26,127.24,4,0.09,Cash,6001
