Item Code,Item Name,Loss Rate (%)
102900011027615,Juhua Youcai,3.43 
102900011028407,Yuganjiao,9.43 
102900011029176,Lameizi,0.00 
102900011029275,Purple Hot Peppers,9.43 
102900011029299,Purple Screw Pepper,0.00 
102900011029305,Fruit Chili,0.18 
102900011029688,Shuanggou Cabbage,10.75 
102900011030042,Zhijiang Red Bolt (Bag),9.43 
102900011030059,Yunnan Lettuce (Bag),9.43 
102900011030097,Yunnan Leaf Lettuce (Bag),9.43 
102900011030103,Garden Chrysanthemum (Bag),9.43 
102900011030110,Spinach (Bag),9.43 
102900011030134,Caixin (Bag),9.43 
102900011030141,Shanghai Green (Bag),9.43 
102900011030158,Xiaoqingcai (2),9.43 
102900011030400,Hongshan Shoutidai,0.00 
102900011030417,Hongshan Gift Box,0.00 
102900011030561,Chopped Red Pine (Box),0.00 
102900011030608,The Steak Mushrooms (Box),19.80 
102900011030615,The Pork Stomach Mushroom (Box),0.00 
102900011030622,Black Porcini (Box),0.00 
102900011030639,Black Chicken Fir Bacteria (Box),0.00 
102900011030905,Yuxingcao (Bag),9.43 
102900011030912,Haixian Mushroom (Bag),9.43 
102900011030929,Fresh Edible Fungus (Bag),9.43 
102900011031100,Millet Pepper (Bag),9.43 
102900011031216,Ice Grass (Box),10.34 
102900011031582,Green Hot Peppers (Bag),9.43 
102900011031599,Apricot Bao Mushroom (Bag),9.43 
102900011031735,7 Colour Pepper (Bag),9.43 
102900011031742,Bell Pepper (Bag),9.43 
102900011031759,Red Bell Pepper (Bag),9.43 
102900011031841,Agaricus Bisporus (Bag),9.43 
102900011031858,Needle Mushroom (Bag),9.43 
102900011031926,Chinese Caterpillar Fungus Flowers (Bag),9.43 
102900011031995,Jigu (Bag),9.43 
102900011032022,Xiaozhoupi (Bag),9.43 
102900011032114,Water Chestnut (Bag),9.43 
102900011032145,Wuhu Green Pepper (Bag),9.43 
102900011032176,Basil (Bag),9.43 
102900011032206,Green Hang Pepper (Bag),9.43 
102900011032213,Red Hang Pepper (Bag),9.43 
102900011032220,Fruit Pepper (Bag),9.43 
102900011032237,Green Line Pepper (Bag),9.43 
102900011032244,Red Hot Peppers (Bag),9.43 
102900011032251,Luosi Pepper (Bag),9.43 
102900011032282,Xiangtianhongcaitai (Bag),0.00 
102900011032343,7 Colour Pepper (2),9.43 
102900011032350,Bell Pepper (2),9.43 
102900011032367,Red Bell Pepper (2),9.43 
102900011032480,Artemisia Stelleriana,0.00 
102900011032589,Yuxingcao ,9.43 
102900011032619,Xixia Xianggu Mushroom (2),9.43 
102900011032626,Fresh Edible Fungus (2),9.43 
102900011032633,Fresh Sea (2),9.43 
102900011032640,Jigu (2),9.43 
102900011032732,High Melon (2),9.43 
102900011032787,Zhuyecai (Bag),9.43 
102900011032848,Ginger And Xiaomijiao Mix (Small Bag),9.43 
102900011033081,Chuncai,29.03 
102900011033173,Sophora Japonica,16.80 
102900011033234,Hongshujian (Bag),9.43 
102900011033241,Caidian Quinoa Artemisia (Bag),9.43 
102900011033531,Red Coral (Leaf),9.43 
102900011033562,Red Oak Leaf,9.43 
102900011033586,Green Butter,9.43 
102900011033906,Powcan Mountain Chinese Cabbage ,9.43 
102900011033913,Purple Cabbage (2),9.43 
102900011033920,Huangxincai (2),9.43 
102900011033937,Needle Mushroom (2),9.43 
102900011033944,Apricot Bao Mushroom (2),9.43 
102900011033968,Xixia Black Mushroom (2),9.43 
102900011033975,Green Eggplant (2),9.43 
102900011033982,Eggplant (1),9.43 
102900011033999,Round Eggplant (1),9.43 
102900011034026,Zhijiang Qinggengsanhua,9.43 
102900011034200,Amaranth (Bag),9.43 
102900011034217,Chinese Cabbage (Bag),9.43 
102900011034224,Xiaoqingcai (Bag),9.43 
102900011034231,Cabbage Stem (Bag),9.43 
102900011034262,Red Pepper (Bag),9.43 
102900011034316,Zhimaxiancai,0.00 
102900011034323,Xianzongye,0.00 
102900011034330,Agaricus Bisporus (Box),0.20 
102900011034354,Xianzongye (Bag) (1),0.00 
102900011034439,Green And Red Hang Pepper Mix (Bag),9.43 
102900011034538,Black Mushroom (Bag),9.43 
102900011034569,Honghu Lotus (Lotus Root),9.43 
102900011034705,The Fungus Mushroom Hot Pot Package (Bag),9.43 
102900011035078,Red Pepper (2),9.43 
102900011035481,Foreign Garland Chrysanthemum  (Bag),9.43 
102900011035511,Net Lotus Root (3),9.43 
102900011035740,Crab Flavor Mushroom And White Mushroom Mix (Box),0.84 
102900011035764,Longyacai,9.43 
102900011035771,Yellow Baicai (1),9.43 
102900011035788,Xixia Xianggu Mushroom (Bag),9.43 
102900011035849,Chinese Cabbage Seedling,0.00 
102900011035962,Wild Lotus Root (2),9.43 
102900011036068,Mushroom And Leaf Mix (Bag),9.43 
102900011036242,Green And Red Jian Pepper Mix (Bag),9.43 
102900011036266,Velvet Antler Mushroom (Box),0.00 
102900011036686,Muercai (Bag),9.43 
102900051000463,Round Eggplant (2),6.71 
102900051000890,Broccoli,9.43 
102900051000944,Honghu Lotus Root,24.05 
102900051004294,Green Line Pepper,7.80 
102900051006229,Lotus Root Tip,0.00 
102900051009220,Youcaitai,10.94 
102900051009336,Chinese Caterpillar Fungus Flowers,11.68 
102900051010455,Huangbaicai (2),15.61 
102900051010790,Purple Beicai,19.58 
106930274220092,The Crab Flavor Mushroom (Bag),11.13 
106930274620090,Haixian Mushroom (Bag) (2),0.00 
106931885000035,Embroidered Aureus,11.13 
106931885000356,Embroidered Aureus (Bag),8.34 
106949711300068,Needle Mushroom (Bag) (3),11.13 
106949711300167,Needle Mushroom (Bag) (2),6.64 
106949711300259,Needle Mushroom (Box),0.45 
106956146480197,The White Mushroom (2),7.30 
106956146480203,The Crab Flavor Mushroom (2),16.04 
106957634300010,The White Mushroom (Box),0.00 
106957634300058,The Crab Flavor Mushroom (Box),0.00 
106958851400125,Haixian Mushroom (Bag) (4),11.13 
106971533450003,Haixian Mushroom (Bunch),0.00 
106971533455008,Haixian Mushroom (Bag) (3),1.30 
106971563780002,Xianzongye (Bag) (2),0.00 
106972776821582,Xianzongye (Bag) (3),9.43 
106973223300667,Chinese Caterpillar Fungus Flowers (Box) (2),11.13 
106973990980123,Hfyg Haixian Mushroom (Bunch),0.12 
